id,problemText,input,output
11,"Jack is working on his jumping skills recently. Currently he's       located at point zero of the number line. He would like to get to       the point  x. In order to train, he has decided that he'll       first jump by only one unit, and each subsequent jump will be       exactly one longer than the previous one. He can go either left or       right with each jump. He wonders how many jumps he needs to reach          x.",The input data consists of only one integer  x ( - 109 ≤ x ≤ 109).,Output the minimal number of jumps that Jack requires to reach          x.,
12,"One cold winter evening Alice and her older brother Bob was       sitting at home near the fireplace and giving each other       interesting problems to solve. When it was Alice's turn, she told       the number  n to Bob and said: —Shuffle the digits in this number in order to obtain the       smallest possible number without leading zeroes. —No problem! — said Bob and immediately gave her an answer. Alice said a random number, so she doesn't know whether Bob's       answer is correct. Help her to find this out, because impatient       brother is waiting for the verdict.","The first line contains one integer  n (0 ≤ n ≤ 109) without leading zeroes. The       second lines contains one integer  m (0 ≤ m ≤ 109) — Bob's answer, possibly with       leading zeroes.",Print OK if Bob's answer       is correct and WRONG_ANSWER otherwise.,
13,Little Petya learns how to write. The teacher gave pupils the       task to write the letter  A on the sheet of paper. It is required to check       whether Petya really had written the letter  A. You are given three segments on the plane. They form the letter          A if the following conditions hold:,The first line contains one integer  t (1 ≤ t ≤ 10000) — the number of test       cases to solve. Each case consists of three lines. Each of these       three lines contains four space-separated integers — coordinates       of the endpoints of one of the segments. All coordinates do not       exceed 108 by absolute value. All segments       have positive length.,"Output one line for each test case. Print «YES» (without quotes), if the       segments form the letter  A and «NO» otherwise.",
14,"Among other things, Bob is keen on photography. Especially he       likes to take pictures of sportsmen. That was the reason why he       placed himself in position  x 0 of a long straight       racetrack and got ready to take pictures. But the problem was that       not all the runners passed him. The total amount of sportsmen,       training at that racetrack, equals  n. And each of them regularly runs distances       within a particular segment of the racetrack, which is the same       for each sportsman. For example, the first sportsman runs from       position  a 1 to position  b 1, the second — from  a 2 to  b 2 What is the minimum distance that Bob should move to have a       chance to take pictures of each sportsman? Bob can take a picture       of a sportsman, if he stands within the segment that this       sportsman covers on the racetrack.","The first line of the input file contains integers  n and  x 0 (1 ≤ n ≤ 100; 0 ≤ x 0 ≤ 1000). The following          n lines contain pairs of integers  a  i, b  i (0 ≤ a  i, b  i ≤ 1000;  a  i ≠ b  i).","Output the required minimum distance in the same units as the       positions on the racetrack. If there is no such a position, output -1.",
15,"Petya is the most responsible worker in the Research Institute.       So he was asked to make a very important experiment: to melt the       chocolate bar with a new laser device. The device consists of a       rectangular field of  n × m cells and a robotic arm. Each cell of       the field is a 1 × 1 square. The       robotic arm has two lasers pointed at the field perpendicularly to       its surface. At any one time lasers are pointed at the centres of       some two cells. Since the lasers are on the robotic hand, their       movements are synchronized — if you move one of the lasers by a       vector, another one moves by the same vector. The following facts about the experiment are known:  You are given  n,  m and the cells (x 1, y 1) and (x 2, y 2), where the lasers are       initially pointed at ( x  i is a column number,  y  i is a row number). Rows are numbered from         1 to  m from top to bottom and columns are numbered from         1 to  n from left to right. You are to find the amount       of cells of the field on which the chocolate can't be melted in       the given conditions.","The first line contains one integer number  t (1 ≤ t ≤ 10000) — the number of       test sets. Each of the following  t lines describes one test set. Each line contains       integer numbers  n,  m,  x 1,  y 1,  x 2,  y 2, separated by a space         (2 ≤ n, m ≤ 109, 1 ≤ x 1, x 2 ≤ n, 1 ≤ y 1, y 2 ≤ m). Cells (x 1, y 1) and (x 2, y 2) are distinct.",Each of the  t lines of the output should contain the answer to       the corresponding input test set.,
16,"A burglar got into a matches warehouse and wants to steal as many       matches as possible. In the warehouse there are  m containers, in the  i-th container there are  a  i matchboxes, and each matchbox contains          b  i matches. All the matchboxes are of the       same size. The burglar's rucksack can hold  n matchboxes exactly. Your task is to find out the       maximum amount of matches that a burglar can carry away. He has no       time to rearrange matches in the matchboxes, that's why he just       chooses not more than  n matchboxes so that the total amount of matches       in them is maximal.","The first line of the input contains integer  n (1 ≤ n ≤ 2·108) and integer  m (1 ≤ m ≤ 20). The  i + 1-th line contains a pair of numbers  a  i and  b  i (1 ≤ a  i ≤ 108, 1 ≤ b  i ≤ 10). All the input numbers are integer.",Output the only number — answer to the problem.,
17,"Nick's company employed  n people. Now Nick needs to build a tree hierarchy       of «supervisor-surbodinate» relations in the company (this is to       say that each employee, except one, has exactly one supervisor).       There are  m applications written in the following form:         «employee  a  i is ready to become a supervisor of         employee  b  i at extra cost  c  i». The qualification  q  j of each employee is known, and for each       application the following is true:  q  a  i > q  b  i.  Would you help Nick calculate the minimum cost of such a       hierarchy, or find out that it is impossible to build it.","The first input line contains integer  n (1 ≤ n ≤ 1000) — amount of employees       in the company. The following line contains  n space-separated numbers  q  j (0 ≤ q  j ≤ 106)—       the employees' qualifications. The following line contains number          m (0 ≤ m ≤ 10000) — amount of received       applications. The following  m lines contain the applications themselves, each       of them in the form of three space-separated numbers:  a  i,  b  i and  c  i (1 ≤ a  i, b  i ≤ n, 0 ≤ c  i ≤ 106).       Different applications can be similar, i.e. they can come from one       and the same employee who offered to become a supervisor of the       same person but at a different cost. For each application  q  a  i > q  b  i.","Output the only line — the minimum cost of building such a       hierarchy, or -1 if it is       impossible to build it.","In the first sample one of the possible ways for building a       hierarchy is to take applications with indexes 1, 2 and 4, which       give 11 as the minimum total cost. In the second sample it is       impossible to build the required hierarchy, so the answer is -1."
18,"In one one-dimensional world there are  n platforms. Platform with index  k (platforms are numbered from 1) is a segment       with coordinates [(k - 1)m, (k - 1)m + l],       and  l < m. Grasshopper Bob starts to jump       along the platforms from point 0,       with each jump he moves exactly  d units right. Find out the coordinate of the       point, where Bob will fall down. The grasshopper falls down, if he       finds himself not on the platform, but if he finds himself on the       edge of the platform, he doesn't fall down.","The first input line contains 4 integer numbers  n,  d,  m,  l (1 ≤ n, d, m, l ≤ 106, l < m) —       respectively: amount of platforms, length of the grasshopper Bob's       jump, and numbers  m and  l needed to find coordinates of the  k-th platform: [(k - 1)m, (k - 1)m + l].","Output the coordinates of the point, where the grosshopper will       fall down. Don't forget that if Bob finds himself on the platform       edge, he doesn't fall down.",
19,"Bob came to a cash & carry store, put  n items into his trolley, and went to the checkout       counter to pay. Each item is described by its price  c  i and time  t  i in seconds that a checkout assistant       spends on this item. While the checkout assistant is occupied with       some item, Bob can steal some other items from his trolley. To       steal one item Bob needs exactly 1 second. What is the minimum       amount of money that Bob will have to pay to the checkout       assistant? Remember, please, that it is Bob, who determines the       order of items for the checkout assistant.","The first input line contains number  n (1 ≤ n ≤ 2000). In each of the       following  n lines each item is described by a pair of       numbers  t  i,  c  i (0 ≤ t  i ≤ 2000, 1 ≤ c  i ≤ 109).       If  t  i is 0, Bob won't be able to steal       anything, while the checkout assistant is occupied with item  i.",Output one number — answer to the problem: what is the minimum       amount of money that Bob will have to pay.,
20,You are given an equation:  Your task is to find the number of distinct roots of the equation       and print all of them in ascending order.,"The first line contains three integer numbers  A, B and  C ( - 105 ≤ A, B, C ≤ 105). Any coefficient may be equal       to 0.",In case of infinite root count print the only integer -1. In case of no roots print the       only integer 0. In other       cases print the number of root on the first line and the roots on       the following lines in the ascending order. Print roots with at       least 5 digits after the decimal point.,
21,"You are given two set of points. The first set is determined by       the equation  A 1 x + B 1 y + C 1 = 0, and the second one       is determined by the equation  A 2 x + B 2 y + C 2 = 0. Write the program which finds the number of points in the       intersection of two given sets.","The first line of the input contains three integer numbers  A 1, B 1, C 1 separated by space. The       second line contains three integer numbers  A 2, B 2, C 2 separated by space. All       the numbers are between -100 and 100, inclusive.",Print the number of points in the intersection or -1 if there are infinite number       of points.,
22,"Bob wants to put a new bargaining table in his office. To do so       he measured the office room thoroughly and drew its plan: Bob's       office room is a rectangular room  n × m meters. Each square meter of the room       is either occupied by some furniture, or free. A bargaining table       is rectangular, and should be placed so, that its sides are       parallel to the office walls. Bob doesn't want to change or       rearrange anything, that's why all the squares that will be       occupied by the table should be initially free. Bob wants the new       table to sit as many people as possible, thus its perimeter should       be maximal. Help Bob find out the maximum possible perimeter of a       bargaining table for his office.","The first line contains 2 space-separated numbers  n and  m (1 ≤ n, m ≤ 25) — the office       room dimensions. Then there follow  n lines with  m characters 0 or 1 each. 0 stands for a free       square meter of the office room. 1 stands for an occupied square       meter. It's guaranteed that at least one square meter in the room       is free.",Output one number — the maximum possible perimeter of a       bargaining table for Bob's office room.,
23,"  n people came to a party. Then those, who had no       friends among people at the party, left. Then those, who had       exactly 1 friend among those who stayed, left as well. Then those,       who had exactly 2, 3, ..., n - 1 friends among       those who stayed by the moment of their leaving, did the same. What is the maximum amount of people that could stay at the party       in the end? ",The first input line contains one number  t — amount of tests (1 ≤ t ≤ 105). Each of the following  t lines contains one integer number  n (1 ≤ n ≤ 105).,For each test output in a separate line one number — the maximum       amount of people that could stay in the end.,
24,"Formula One championship consists of series of races called Grand       Prix. After every race drivers receive points according to their       final position. Only the top 10 drivers receive points in the       following order 25, 18, 15, 12, 10, 8, 6, 4, 2, 1. At the       conclusion of the championship the driver with most points is the       champion. If there is a tie, champion is the one with most wins       (i.e. first places). If a tie still exists, it is chosen the one       with most second places, and so on, until there are no more place       to use for compare.  Last year another scoring system was proposed but rejected. In       it the champion is the one with most wins. If there is tie,       champion is the one with most points. If a tie still exists it is       proceeded the same way as in the original scoring system, that is       comparing number of second, third, forth, and so on, places. You are given the result of all races during the season and you       are to determine the champion according to both scoring systems.       It is guaranteed, that both systems will produce unique champion.","The first line contain integer  t (1 ≤ t ≤ 20), where  t is the number of races. After that all races are       described one by one. Every race description start with an integer          n (1 ≤ n ≤ 50) on a line of itself,       where  n is the number of clasified drivers in the given       race. After that  n lines follow with the classification for the       race, each containing the name of a driver. The names of drivers       are given in order from the first to the last place. The name of       the driver consists of lowercase and uppercase English letters and       has length at most 50 characters. Comparing of names should be case-sensetive.","Your output should contain exactly two line. On the first line is       the name of the champion according to the original rule, and on       the second line the name of the champion according to the       alternative rule.",It is not guaranteed that the same drivers participate in all       races. For the championship consider every driver that has       participated in at least one race. The total number of drivers       during the whole season is not more then 50.
25,"Phone number in Berland is a sequence of  n digits. Often, to make it easier to memorize the       number, it is divided into groups of two or three digits. For       example, the phone number 1198733 is easier to remember as         11-987-33. Your task is       to find for a given phone number any of its divisions into groups       of two or three digits.",The first line contains integer  n (2 ≤ n ≤ 100) — amount of digits in       the phone number. The second line contains  n digits — the phone number to divide into groups.,"Output any of divisions of the given phone number into groups of       two or three digits. Separate groups by single character -. If the answer is not unique,       output any.",
26,"A bracket sequence is called regular if it is possible to obtain       correct arithmetic expression by inserting characters «+» and «1» into this sequence. For       example, sequences «(())()», «()» and «(()(()))» are regular, while         «)(», «(()» and «(()))(» are not. One day Johnny got bracket sequence. He decided to remove some of       the brackets from it in order to obtain a regular bracket       sequence. What is the maximum length of a regular bracket sequence       which can be obtained?",Input consists of a single line with non-empty string of «(» and «)» characters. Its length does       not exceed 106.,Output the maximum possible length of a regular bracket sequence.,
27,"The tournament «Sleepyhead-2010» in the rapid falling asleep has       just finished in Berland.  n best participants from the country have       participated in it. The tournament consists of games, each of them       is a match between two participants.  n·(n - 1) / 2 games were played during the       tournament, and each participant had a match with each other       participant.  The rules of the game are quite simple — the participant who       falls asleep first wins. The secretary made a record of each game       in the form « x  i  y  i», where  x  i and  y  i are the numbers of participants. The       first number in each pair is a winner (i.e.  x  i is a winner and  y  i is a loser). There is no draws. Recently researches form the «Institute Of Sleep» have found that       every person is characterized by a value  p  j — the speed of falling asleep. The       person who has lower speed wins. Every person has its own value          p  j, constant during the life.  It is known that all participants of the tournament have distinct       speeds of falling asleep. Also it was found that the secretary       made records about all the games except one. You are to find the       result of the missing game.","The first line contains one integer  n (3 ≤ n ≤ 50) — the number of       participants. The following  n·(n - 1) / 2 - 1 lines contain the results       of the games. Each game is described in a single line by two       integers  x  i, y  i (1 ≤ x  i, y  i ≤ n, x  i ≠ y  i), where  x  i и  y  i are the numbers of the opponents in this       game. It is known that during the tournament each of the  n participants played  n - 1 games, one game with each other participant.","Output two integers  x and  y — the missing record. If there are several       solutions, output any of them.",
28,"One day  n cells of some array decided to play the       following game. Initially each cell contains a number which is       equal to it's ordinal number (starting from 1). Also each cell determined it's       favourite number. On it's move  i-th cell can exchange it's value with the value       of some other  j-th cell, if |i - j| = d  i, where  d  i is a favourite number of  i-th cell. Cells make moves in any order, the       number of moves is unlimited. The favourite number of each cell will be given to you. You will       also be given a permutation of numbers from 1 to  n. You are to determine whether the game could       move to this state.",The first line contains positive integer  n (1 ≤ n ≤ 100) — the number of cells       in the array. The second line contains  n distinct integers from 1 to  n — permutation. The last line contains  n integers from 1 to          n — favourite numbers of the cells.,"If the given state is reachable in the described game, output         YES, otherwise NO.",
29,"A car moves from point A to point B at speed  v meters per second. The action takes place on the       X-axis. At the distance  d meters from A there are traffic lights. Starting       from time 0, for the first  g seconds the green light is on, then for the       following  r seconds the red light is on, then again the       green light is on for the  g seconds, and so on. The car can be instantly accelerated from 0 to  v and vice versa, can instantly slow down from the          v to 0. Consider       that it passes the traffic lights at the green light instantly. If       the car approaches the traffic lights at the moment when the red       light has just turned on, it doesn't have time to pass it. But if       it approaches the traffic lights at the moment when the green       light has just turned on, it can move. The car leaves point A at       the time 0. What is the minimum time for the car to get from point A to point       B without breaking the traffic rules?","The first line contains integers  l,  d,  v,  g,  r (1 ≤ l, d, v, g, r ≤ 1000, d < l)       — the distance between A and B (in meters), the distance from A to       the traffic lights, car's speed, the duration of green light and       the duration of red light.",Output a single number — the minimum time that the car needs to       get from point A to point B. Your output must have relative or       absolute error less than 10 - 6.,
30,"The king Copa often has been reported about the Codeforces site,       which is rapidly getting more and more popular among the brightest       minds of the humanity, who are using it for training and       competing. Recently Copa understood that to conquer the world he       needs to organize the world Codeforces tournament. He hopes that       after it the brightest minds will become his subordinates, and the       toughest part of conquering the world will be completed. The final round of the Codeforces World Finals 20YY is scheduled       for  DD. MM. YY, where  DD is the day of the round,  MM is the month and  YY are the last two digits of the year. Bob is       lucky to be the first finalist form Berland. But there is one       problem: according to the rules of the competition, all       participants must be at least 18 years old at the moment of the       finals. Bob was born on  BD. BM. BY. This date is recorded in his passport, the       copy of which he has already mailed to the organizers. But Bob       learned that in different countries the way, in which the dates       are written, differs. For example, in the US the month is written       first, then the day and finally the year. Bob wonders if it is       possible to rearrange the numbers in his date of birth so that he       will be at least 18 years old on the day  DD. MM. YY. He can always tell that in his motherland       dates are written differently. Help him. According to another strange rule, eligible participant must be       born in the same century as the date of the finals. If the day of       the finals is participant's 18-th birthday, he is allowed to       participate.  As we are considering only the years from 2001 to 2099       for the year of the finals, use the following rule: the year is       leap if it's number is divisible by four.","The first line contains the date  DD. MM. YY, the second line contains the date  BD. BM. BY. It is guaranteed that both dates are correct,       and  YY and  BY are always in [01;99]. It could be that by passport Bob was born after the finals. In       this case, he can still change the order of numbers in date.","If it is possible to rearrange the numbers in the date of birth       so that Bob will be at least 18 years old on the  DD. MM. YY, output YES. In the other case, output         NO.  Each number contains exactly two digits and stands for day, month       or year in a date. Note that it is permitted to rearrange only       numbers, not digits.",
31,"Email address in Berland is a string of the form  A@ B, where  A and  B are arbitrary strings consisting of small Latin       letters.  Bob is a system administrator in «Bersoft» company. He keeps a       list of email addresses of the company's staff. This list is as a       large string, where all addresses are written in arbitrary order,       separated by commas. The same address can be written more than once. Suddenly, because of unknown reasons, all commas in Bob's list       disappeared. Now Bob has a string, where all addresses are written       one after another without any separators, and there is impossible       to determine, where the boundaries between addresses are.       Unfortunately, on the same day his chief asked him to bring the       initial list of addresses. Now Bob wants to disjoin addresses in       some valid way. Help him to do that.","The first line contains the list of addresses without separators.       The length of this string is between 1 and 200,       inclusive. The string consists only from small Latin letters and       characters «@».","If there is no list of the valid (according to the Berland rules)       email addresses such that after removing all commas it coincides       with the given string, output No       solution. In the other case, output the list. The same       address can be written in this list more than once. If there are       several solutions, output any of them.",
32,"Ternary numeric notation is quite popular in Berland. To       telegraph the ternary number the Borze alphabet is used. Digit 0       is transmitted as «.», 1 as         «-.» and 2 as «--». You are to decode the Borze       code, i.e. to find out the ternary number given its representation       in Borze alphabet.",The first line contains a number in Borze code. The length of the       string is between 1 and 200 characters. It's guaranteed that the       given string is a valid Borze code of some ternary number (this       number can have leading zeroes).,Output the decoded ternary number. It can have leading zeroes.,
33,"Boy Valera likes strings. And even more he likes them, when they       are identical. That's why in his spare time Valera plays the       following game. He takes any two strings, consisting of lower case       Latin letters, and tries to make them identical. According to the       game rules, with each move Valera can change one arbitrary character  A  i in one of the strings into arbitrary       character  B  i, but he has to pay for every move a       particular sum of money, equal to  W  i. He is allowed to make as many moves as       he needs. Since Valera is a very economical boy and never wastes       his money, he asked you, an experienced programmer, to help him       answer the question: what minimum amount of money should Valera       have to get identical strings. ","The first input line contains two initial non-empty strings  s and  t, consisting of lower case Latin letters. The       length of each string doesn't exceed 105. The following line contains       integer  n (0 ≤ n ≤ 500) — amount of possible       changings. Then follow  n lines, each containing characters  A  i and  B  i (lower case Latin letters) and integer          W  i (0 ≤ W  i ≤ 100), saying that it's allowed to       change character  A  i into character  B  i in any of the strings and spend sum of       money  W  i.","If the answer exists, output the answer to the problem, and the       resulting string. Otherwise output -1 in the only line. If the       answer is not unique, output any.",
