id,problemText,input,output
11,"A sequence  a 0, a 1, ..., a  t - 1 is called increasing if  a  i - 1 < a  i for each  i: 0 < i < t. You are given a sequence  b 0, b 1, ..., b  n - 1 and a positive integer  d. In each move you may choose one element of the       given sequence and add  d to it. What is the least number of moves       required to make the given sequence increasing?","The first line of the input contains two integer numbers  n and  d (2 ≤ n ≤ 2000, 1 ≤ d ≤ 106). The second line contains       space separated sequence  b 0, b 1, ..., b  n - 1 (1 ≤ b  i ≤ 106).",Output the minimal number of moves needed to make the sequence increasing.,
12,"There is a very secret base in Potatoland where potato mash is       made according to a special recipe. The neighbours from Porridgia       decided to seize this recipe and to sell it to Pilauland. For this       mission they have been preparing special agent Pearlo for many       years. When, finally, Pearlo learned all secrets of espionage, he       penetrated into the Potatoland territory and reached the secret base. Now he is standing at the entrance, but to get inside he need to       pass combination lock. Minute ago one of the workers entered the       password on the terminal and opened the door. The terminal is a       square digital keyboard 3 × 3 with       digits from 1 to 9. Pearlo knows that the password consists from distinct digits and       is probably symmetric with respect to the central button of the       terminal. He has heat sensor which allowed him to detect the       digits which the worker pressed. Now he wants to check whether the       password entered by the worker is symmetric with respect to the       central button of the terminal. This fact can Help Pearlo to       reduce the number of different possible password combinations.","Input contains the matrix of three rows of three symbols each.       Symbol «X» means that the       corresponding button was pressed, and «.» means that is was not pressed.       The matrix may contain no «X», also it may contain no «.».",Print YES if the password       is symmetric with respect to the central button of the terminal       and NO otherwise.,"If you are not familiar with the term «central symmetry», you may       look into http://en.wikipedia.org/wiki/Central_symmetry"
13,"Little Petya likes numbers a lot. He found that number 123 in       base 16 consists of two digits: the first is 7 and the second is       11. So the sum of digits of 123 in base 16 is equal to 18. Now he wonders what is an average value of sum of digits of the       number  A written in all bases from 2 to  A - 1. Note that all computations should be done in base 10. You should       find the result as an irreducible fraction, written in base 10.",Input contains one integer number  A (3 ≤ A ≤ 1000).,"Output should contain required average value in format «X/Y», where X is the numerator and Y is the denominator.","In the first sample number 5 written in all bases from 2 to 4       looks so: 101, 12, 11. Sums of digits are 2, 3 and 2, respectively."
14,"A boy Bob likes to draw. Not long ago he bought a rectangular       graph (checked) sheet with  n rows and  m columns. Bob shaded some of the squares on the       sheet. Having seen his masterpiece, he decided to share it with       his elder brother, who lives in Flatland. Now Bob has to send his       picture by post, but because of the world economic crisis and high       oil prices, he wants to send his creation, but to spend as little       money as possible. For each sent square of paper (no matter       whether it is shaded or not) Bob has to pay 3.14 burles. Please,       help Bob cut out of his masterpiece a rectangle of the minimum       cost, that will contain all the shaded squares. The rectangle's       sides should be parallel to the sheet's sides.","The first line of the input data contains numbers  n and  m (1 ≤ n, m ≤ 50),  n — amount of lines, and  m — amount of columns on Bob's sheet. The       following  n lines contain  m characters each. Character «.» stands for a non-shaded square       on the sheet, and «*» — for       a shaded square. It is guaranteed that Bob has shaded at least one square.",Output the required rectangle of the minimum cost. Study the       output data in the sample tests to understand the output format better.,
15,"A new cottage village called «Flatville» is being built in       Flatland. By now they have already built in «Flatville»  n square houses with the centres on the  Оx-axis. The houses' sides are parallel to the       coordinate axes. It's known that no two houses overlap, but they       can touch each other. The architect bureau, where Peter works, was commissioned to       build a new house in «Flatville». The customer wants his future       house to be on the  Оx-axis, to be square in shape, have a side  t, and touch at least one of the already built       houses. For sure, its sides should be parallel to the coordinate       axes, its centre should be on the  Ox-axis and it shouldn't overlap any of the houses       in the village. Peter was given a list of all the houses in «Flatville». Would       you help him find the amount of possible positions of the new house?","The first line of the input data contains numbers  n and  t (1 ≤ n, t ≤ 1000). Then there       follow  n lines, each of them contains two space-separated       integer numbers:  x  i  a  i, where  x  i —  x-coordinate of the centre of the  i-th house, and  a  i — length of its side ( - 1000 ≤ x  i ≤ 1000, 1 ≤ a  i ≤ 1000).",Output the amount of possible positions of the new house.,It is possible for the  x-coordinate of the new house to have non-integer value.
16,"According to a new ISO standard, a flag of every country should       have a chequered field  n × m, each square should be of one of 10       colours, and the flag should be «striped»: each horizontal row of       the flag should contain squares of the same colour, and the       colours of adjacent horizontal rows should be different. Berland's       government asked you to find out whether their flag meets the new       ISO standard.","The first line of the input contains numbers  n and  m (1 ≤ n, m ≤ 100),  n — the amount of rows,  m — the amount of columns on the flag of Berland.       Then there follows the description of the flag: each of the       following  n lines contain  m characters. Each character is a digit between         0 and 9, and stands for the colour of       the corresponding square.","Output YES, if the flag       meets the new ISO standard, and NO otherwise.",
17,"Nick is interested in prime numbers. Once he read about Goldbach problem. It       states that every even integer greater than 2 can be expressed as the sum of two       primes. That got Nick's attention and he decided to invent a       problem of his own and call it Noldbach problem. Since       Nick is interested only in prime numbers, Noldbach problem states       that at least  k prime numbers from 2 to  n inclusively can be expressed as the sum of three       integer numbers: two neighboring prime numbers and 1. For example, 19 = 7 + 11 + 1, or 13 = 5 + 7 + 1. Two prime numbers are called neighboring if there are no other       prime numbers between them. You are to help Nick, and find out if he is right or wrong.",The first line of the input contains two integers  n (2 ≤ n ≤ 1000) and  k (0 ≤ k ≤ 1000).,Output YES if at least          k prime numbers from 2 to  n inclusively can be expressed as it was described       above. Otherwise output NO.,"In the first sample the answer is YES since at least two numbers       can be expressed as it was described (for example, 13 and 19). In       the second sample the answer is NO since it is impossible to       express 7 prime numbers from 2 to 45 in the desired form."
18,"At a geometry lesson Bob learnt that a triangle is called       right-angled if it is nondegenerate and one of its angles is       right. Bob decided to draw such a triangle immediately: on a sheet       of paper he drew three points with integer coordinates, and joined       them with segments of straight lines, then he showed the triangle       to Peter. Peter said that Bob's triangle is not right-angled, but       is almost       right-angled: the triangle itself is not right-angled, but it is       possible to move one of the points exactly by distance 1 so, that       all the coordinates remain integer, and the triangle become       right-angled. Bob asks you to help him and find out if Peter       tricks him. By the given coordinates of the triangle you should       find out if it is right-angled, almost right-angled, or neither of these.","The first input line contains 6 space-separated integers  x 1, y 1, x 2, y 2, x 3, y 3 — coordinates of the       triangle's vertices. All the coordinates are integer and don't       exceed 100 in absolute value. It's guaranteed that the triangle is       nondegenerate, i.e. its total area is not zero.","If the given triangle is right-angled, output RIGHT, if it is almost       right-angled, output ALMOST, and if it is neither of       these, output NEITHER.",
19,"Everyone knows that 2010 FIFA World Cup is being held in South       Africa now. By the decision of BFA (Berland's Football       Association) next World Cup will be held in Berland. BFA took the       decision to change some World Cup regulations: You are asked to write a program that, by the given list of the       competing teams and the results of all the matches, will find the       list of teams that managed to get through to the knockout stage.","The first input line contains the only integer  n (1 ≤ n ≤ 50) — amount of the teams,       taking part in the final tournament of World Cup. The following          n lines contain the names of these teams, a name       is a string of lower-case and upper-case Latin letters, its length       doesn't exceed 30 characters. The following  n·(n - 1) / 2 lines describe the held       matches in the format name1-name2       num1:num2, where  name1,  name2 — names of the teams;  num1,  num2 (0 ≤ num1, num2 ≤ 100) —       amount of the goals, scored by the corresponding teams. Accuracy       of the descriptions is guaranteed: there are no two team names       coinciding accurate to the letters' case; there is no match, where       a team plays with itself; each match is met in the descriptions       only once.","Output  n / 2 lines — names of the teams, which managed to       get through to the knockout stage in lexicographical order. Output       each name in a separate line. No odd characters (including spaces)       are allowed. It's guaranteed that the described regulations help       to order the teams without ambiguity.",
20,"The new operating system BerOS has a nice feature. It is possible       to use any number of characters '/' as a delimiter in path       instead of one traditional '/'. For example, strings //usr///local//nginx/sbin// and         /usr/local/nginx///sbin       are equivalent. The character '/' (or some sequence of such       characters) at the end of the path is required only in case of the       path to the root directory, which can be represented as single       character '/'. A path called normalized if it contains the smallest possible       number of characters '/'. Your task is to transform a given path to the normalized form.","The first line of the input contains only lowercase Latin letters       and character '/' — the       path to some directory. All paths start with at least one       character '/'. The length       of the given line is no more than 100 characters, it is not empty.",The path in normalized form.,
21,"Jabber ID on the national Berland service «Babber» has a form         <username>@<hostname>[/resource],       where  The content of square brackets is optional — it can be present or       can be absent. There are the samples of correct Jabber IDs: mike@codeforces.com, 007@en.codeforces.com/contest. Your task is to write program which checks if given string is a       correct Jabber ID.","The input contains of a single line. The line has the length       between 1 and 100 characters, inclusive. Each characters has       ASCII-code between 33 and 127, inclusive.",Print YES or NO.,
22,Once Bob needed to find the second order statistics of a sequence       of integer numbers. Lets choose each number from the sequence       exactly once and sort them. The value on the second position is       the second order statistics of the given sequence. In other words       it is the smallest element strictly greater than the minimum. Help       Bob solve this problem.,The first input line contains integer  n (1 ≤ n ≤ 100) — amount of numbers in       the sequence. The second line contains  n space-separated integer numbers — elements of       the sequence. These numbers don't exceed 100 in absolute value.,"If the given sequence has the second order statistics, output       this order statistics, otherwise output NO.",
23,You're given a string of lower-case Latin letters. Your task is       to find the length of its longest substring that can be met in the       string at least twice. These occurrences can overlap (see sample       test 2).,"The first input line contains the string. It's guaranteed, that       the string is non-empty, consists of lower-case Latin letters, and       its length doesn't exceed 100.",Output one number — length of the longest substring that can be       met in the string at least twice.,
24,"Nowadays the one-way traffic is introduced all over the world in       order to improve driving safety and reduce traffic jams. The       government of Berland decided to keep up with new trends. Formerly       all  n cities of Berland were connected by  n two-way roads in the ring, i. e. each city was       connected directly to exactly two other cities, and from each city       it was possible to get to any other city. Government of Berland       introduced one-way traffic on all  n roads, but it soon became clear that it's       impossible to get from some of the cities to some others. Now for       each road is known in which direction the traffic is directed at       it, and the cost of redirecting the traffic. What is the smallest       amount of money the government should spend on the redirecting of       roads so that from every city you can get to any other?","The first line contains integer  n (3 ≤ n ≤ 100) — amount of cities       (and roads) in Berland. Next  n lines contain description of roads. Each road is       described by three integers  a  i,  b  i,  c  i (1 ≤ a  i, b  i ≤ n, a  i ≠ b  i, 1 ≤ c  i ≤ 100) — road is directed from city          a  i to city  b  i, redirecting the traffic costs  c  i.",Output single integer — the smallest amount of money the       government should spend on the redirecting of roads so that from       every city you can get to any other.,
25,"Bob is preparing to pass IQ test. The most frequent task in this       test is to find out which one of the given  n numbers differs from the others. Bob observed       that one number usually differs from the others in evenness. Help       Bob — to check his answers, he needs a program that among the       given  n numbers finds one that is different in evenness.","The first line contains integer  n (3 ≤ n ≤ 100) — amount of numbers in       the task. The second line contains  n space-separated natural numbers, not exceeding       100. It is guaranteed, that exactly one of these numbers differs       from the others in evenness.",Output index of number that differs from the others in evenness.       Numbers are numbered from 1 in the input order.,
26,"A number is called almost prime if it has exactly two distinct       prime divisors. For example, numbers 6, 18, 24 are almost prime,       while 4, 8, 9, 42 are not. Find the amount of almost prime numbers       which are between 1 and  n, inclusive.",Input contains one integer number  n (1 ≤ n ≤ 3000).,"Output the amount of almost prime numbers between 1 and  n, inclusive.",
27,"«Polygon» is a system which allows to create programming tasks in       a simple and professional way. When you add a test to the problem,       the corresponding form asks you for the test index. As in most       cases it is clear which index the next test will have, the system       suggests the default value of the index. It is calculated as the       smallest positive integer which is not used as an index for some       previously added test. You are to implement this feature. Create a program which       determines the default index of the next test, given the indexes       of the previously added tests.","The first line contains one integer  n (1 ≤ n ≤ 3000) — the amount of       previously added tests. The second line contains  n distinct integers  a 1, a 2, ..., a  n (1 ≤ a  i ≤ 3000) — indexes of these tests.",Output the required default value for the next test index.,
28,"Robot Bender decided to make Fray a birthday present. He drove          n nails and numbered them from 1 to  n in some order. Bender decided to make a picture       using metal rods. The picture is a closed polyline, which vertices       should be nails (in the given order). The segments of the polyline       should be parallel to the coordinate axes. Polyline is allowed to       have self-intersections. Bender can take a rod and fold it exactly       once in any place to form an angle of 90 degrees. Then he can       attach the place of the fold to some unoccupied nail and attach       two ends of this rod to adjacent nails. A nail is considered       unoccupied if there is no rod attached to it (neither by it's end       nor the by the fold place). No rod could be used twice. It is not       required to use all the rods. Help Bender to solve this difficult task.","The first line contains two positive integers  n and  m (4 ≤ n ≤ 500, 2 ≤ m ≤ 500,          n is even) — the amount of nails and the amount of       rods.  i-th of the following  n lines contains a pair of integers, denoting the       coordinates of the  i-th nail. Nails should be connected in the same       order as they are given in the input. The last line contains  m integers — the lenghts of the rods. All       coordinates do not exceed 104 by absolute value. Lengths of       the rods are between 1 and 200 000. No rod can be used twice. It is       guaranteed that all segments of the given polyline are parallel to       coordinate axes. No three consecutive nails lie on the same line.","If it is impossible to solve Bender's problem, output NO. Otherwise, output YES in the first line, and in the       second line output  n numbers —  i-th of them should be the number of rod, which       fold place is attached to the  i-th nail, or -1, if there is no such rod. If there are multiple solutions, print any of them.",
29,"In a Berland's zoo there is an enclosure with camels. It is known       that camels like to spit. Bob watched these interesting animals       for the whole day and registered in his notepad where each animal       spitted. Now he wants to know if in the zoo there are two camels,       which spitted at each other. Help him to solve this task. The trajectory of a camel's spit is an arc, i.e. if the camel in       position  x spits  d meters right, he can hit only the camel in       position  x + d, if such a camel exists.","The first line contains integer  n (1 ≤ n ≤ 100) — the amount of camels       in the zoo. Each of the following  n lines contains two integers  x  i and  d  i ( - 104 ≤ x  i ≤ 104, 1 ≤ |d  i| ≤ 2·104)       — records in Bob's notepad.  x  i is a position of the  i-th camel, and  d  i is a distance at which the  i-th camel spitted. Positive values of  d  i correspond to the spits right, negative       values correspond to the spits left. No two camels may stand in       the same position.","If there are two camels, which spitted at each other, output         YES. Otherwise, output         NO.",
30,"A long time ago in some far country lived king Copa. After the       recent king's reform, he got so large powers that started to keep       the books by himself. The total income  A of his kingdom during 0-th year is known, as well as the total       income  B during  n-th year (these numbers can be negative — it       means that there was a loss in the correspondent year).  King wants to show financial stability. To do this, he needs to       find common coefficient  X — the coefficient of income growth during one       year. This coefficient should satisfy the equation: Surely, the king is not going to do this job by himself, and       demands you to find such number  X. It is necessary to point out that the fractional numbers are not       used in kingdom's economy. That's why all input numbers as well as       coefficient  X must be integers. The number  X may be zero or negative.","The input contains three integers  A,  B,  n (|A|, |B| ≤ 1000, 1 ≤ n ≤ 10).","Output the required integer coefficient  X, or «No solution», if such a coefficient does       not exist or it is fractional. If there are several possible       solutions, output any of them.",
31,"Professor Vasechkin is studying evolution of worms. Recently he       put forward hypotheses that all worms evolve by division. There       are  n forms of worms. Worms of these forms have       lengths  a 1,  a 2, ...,  a  n. To prove his theory, professor needs to       find 3 different forms that the length of the first form is equal       to sum of lengths of the other two forms. Help him to do this.",The first line contains integer  n (3 ≤ n ≤ 100) — amount of worm's       forms. The second line contains  n space-separated integers  a  i (1 ≤ a  i ≤ 1000) — lengths of worms of each form.,"Output 3 distinct integers  i  j  k (1 ≤ i, j, k ≤ n)       — such indexes of worm's forms that  a  i = a  j + a  k. If there is no such triple, output         -1. If there are several       solutions, output any of them. It possible that  a  j = a  k.",
32,"According to the regulations of Berland's army, a reconnaissance       unit should consist of exactly two soldiers. Since these two       soldiers shouldn't differ much, their heights can differ by at       most  d centimeters. Captain Bob has  n soldiers in his detachment. Their heights are          a 1, a 2, ..., a  n centimeters. Some soldiers are of the       same height. Bob wants to know, how many ways exist to form a       reconnaissance unit of two soldiers from his detachment. Ways (1, 2) and (2, 1) should be regarded as different.","The first line contains two integers  n and  d (1 ≤ n ≤ 1000, 1 ≤ d ≤ 109) — amount of soldiers in Bob's       detachment and the maximum allowed height difference respectively.       The second line contains  n space-separated integers — heights of all the       soldiers in Bob's detachment. These numbers don't exceed 109.","Output one number — amount of ways to form a reconnaissance unit       of two soldiers, whose height difference doesn't exceed  d.",
33,"In one little known, but very beautiful country called Waterland,       lives a lovely shark Valerie. Like all the sharks, she has several       rows of teeth, and feeds on crucians. One of Valerie's       distinguishing features is that while eating one crucian she uses       only one row of her teeth, the rest of the teeth are ""relaxing"". For a long time our heroine had been searching the sea for       crucians, but a great misfortune happened. Her teeth started to       ache, and she had to see the local dentist, lobster Ashot. As a       professional, Ashot quickly relieved Valerie from her toothache.       Moreover, he managed to determine the cause of Valerie's       developing caries (for what he was later nicknamed Cap). It turned that Valerie eats too many crucians. To help Valerie       avoid further reoccurrence of toothache, Ashot found for each       Valerie's tooth its residual viability. Residual viability of a       tooth is a value equal to the amount of crucians that Valerie can       eat with this tooth. Every time Valerie eats a crucian, viability       of all the teeth used for it will decrease by one. When the       viability of at least one tooth becomes negative, the shark will       have to see the dentist again.  Unhappy, Valerie came back home, where a portion of crucians was       waiting for her. For sure, the shark couldn't say no to her       favourite meal, but she had no desire to go back to the dentist.       That's why she decided to eat the maximum amount of crucians from       the portion but so that the viability of no tooth becomes       negative.  As Valerie is not good at mathematics, she asked you to help her       to find out the total amount of crucians that she can consume for dinner. We should remind you that while eating one crucian Valerie uses       exactly one row of teeth and the viability of each tooth from this       row decreases by one.","The first line contains three integers  n,  m,  k (1 ≤ m ≤ n ≤ 1000, 0 ≤ k ≤ 106) — total amount of Valerie's       teeth, amount of tooth rows and amount of crucians in Valerie's       portion for dinner. Then follow  n lines, each containing two integers:  r (1 ≤ r ≤ m) — index of the       row, where belongs the corresponding tooth, and  c (0 ≤ c ≤ 106) — its residual viability. It's guaranteed that each tooth row has positive amount of teeth.",In the first line output the maximum amount of crucians that       Valerie can consume for dinner.,
34,"  n soldiers stand in a circle. For each soldier his       height  a  i is known. A reconnaissance unit can be       made of such two neighbouring soldiers, whose       heights difference is minimal, i.e. |a  i - a  j| is minimal. So each of them will be       less noticeable with the other. Output any pair of soldiers that       can form a reconnaissance unit.","The first line contains integer  n (2 ≤ n ≤ 100) — amount of soldiers.       Then follow the heights of the soldiers in their order in the       circle —  n space-separated integers  a 1, a 2, ..., a  n (1 ≤ a  i ≤ 1000). The soldier heights are given       in clockwise or counterclockwise direction.","Output two integers — indexes of neighbouring soldiers, who should       form a reconnaissance unit. If there are many optimum solutions,       output any of them. Remember, that the soldiers stand in a circle.",
35,Today the «Z» city residents enjoy a shell game competition. The       residents are gathered on the main square to watch the       breath-taking performance. The performer puts 3 non-transparent       cups upside down in a row. Then he openly puts a small ball under       one of the cups and starts to shuffle the cups around very quickly       so that on the whole he makes exactly 3 shuffles. After that the       spectators have exactly one attempt to guess in which cup they       think the ball is and if the answer is correct they get a prize.       Maybe you can try to find the ball too?,"The first input line contains an integer from 1 to 3 — index of       the cup which covers the ball before the shuffles. The following       three lines describe the shuffles. Each description of a shuffle       contains two distinct integers from 1 to 3 — indexes of the cups       which the performer shuffled this time. The cups are numbered from       left to right and are renumbered after each shuffle from left to       right again. In other words, the cup on the left always has index       1, the one in the middle — index 2 and the one on the right —       index 3.",In the first line output an integer from 1 to 3 — index of the       cup which will have the ball after all the shuffles. ,
