id,problemText,input,output
336,"Vasily the bear has a favorite       rectangle, it has one vertex at point (0, 0), and the opposite vertex at point         (x, y). Of course,       the sides of Vasya's favorite rectangle are parallel to the       coordinate axes.  Vasya also loves triangles, if the triangles have one vertex at       point  B = (0, 0). That's why today he asks you to find       two points  A = (x 1, y 1) and  C = (x 2, y 2), such that the       following conditions hold: Help the bear, find the required points. It is not so hard to       proof that these points are unique.","The first line contains two integers  x, y ( - 109 ≤ x, y ≤ 109, x ≠ 0, y ≠ 0).","Print in the single line four integers  x 1, y 1, x 2, y 2 — the coordinates of the       required points.",   Figure to the first sample
363,"You know that Japan is the country with almost the largest       'electronic devices per person' ratio. So you might be quite       surprised to find out that the primary school in Japan teaches to       count using a Soroban — an       abacus developed in Japan. This phenomenon has its reasons, of       course, but we are not going to speak about them. Let's have a       look at the Soroban's construction. Soroban consists of some number of rods, each rod contains five       beads. We will assume that the rods are horizontal lines. One bead       on each rod (the leftmost one) is divided from the others by a bar       (the reckoning bar). This single bead is called go-dama and four others are ichi-damas. Each rod is       responsible for representing a single digit from 0 to 9. We can       obtain the value of a digit by following simple algorithm: Thus, the upper rod on the picture shows digit 0, the middle one       shows digit 2 and the lower one shows 7. We will consider the top       rod to represent the last decimal digit of a number, so the       picture shows number 720. Write the program that prints the way Soroban shows the given       number  n.",The first line contains a single integer  n (0 ≤ n < 109).,"Print the description of the decimal digits of number  n from the last         one to the first one (as mentioned on the picture in the       statement), one per line. Print the beads as large English       letters 'O', rod pieces as character '-' and the reckoning bar as       '|'. Print as many rods, as many digits are in the decimal       representation of number  n without leading zeroes. We can assume that       number 0 has no leading zeroes.",
396,"You are given an integer  m as a product of integers  a 1, a 2, ... a  n .       Your task is to find the number of distinct decompositions of       number  m into the product of  n ordered positive integers. Decomposition into  n products, given in the input, must also be       considered in the answer. As the answer can be very large, print       it modulo 1000000007 (109 + 7).","The first line contains positive integer  n (1 ≤ n ≤ 500). The second line       contains space-separated integers  a 1, a 2, ..., a  n (1 ≤ a  i ≤ 109).",In a single line print a single number  k — the number of distinct decompositions of       number  m into  n ordered multipliers modulo 1000000007 (109 + 7).,"In the second sample, the get a decomposition of number 2, you       need any one number out of three to equal 2, and the rest to equal 1. In the third sample, the possible ways of decomposing into       ordered multipliers are [7,5], [5,7], [1,35], [35,1]. A decomposition of positive integer  m into  n ordered multipliers is a cortege of positive       integers  b = {b 1, b 2, ... b  n} such that .       Two decompositions  b and  c are considered different, if there exists index          i such that  b  i ≠ c  i."
486,For a positive integer  n let's define a function  f:   f(n) =  - 1 + 2 - 3 + .. + ( - 1) n n  Your task is to calculate  f(n) for a given integer  n.,The single line contains the positive integer  n (1 ≤ n ≤ 1015).,Print  f(n) in a single line.,  f(4) =  - 1 + 2 - 3 + 4 = 2   f(5) =  - 1 + 2 - 3 + 4 - 5 =  - 3
488,"Giga Tower is the tallest and deepest building in Cyberland.       There are 17 777 777 777 floors,       numbered from  - 8 888 888 888 to         8 888 888 888. In particular,       there is floor 0 between floor  - 1 and floor 1. Every day, thousands of tourists come       to this place to enjoy the wonderful view.  In Cyberland, it is believed that the number ""8"" is a       lucky number (that's why Giga Tower has 8 888 888 888 floors above the ground),       and, an integer is lucky, if and only if its       decimal notation contains at least one digit ""8"". For       example, 8,  - 180, 808 are all         lucky while 42,  - 10 are not. In the Giga Tower, if       you write code at a floor with lucky floor number, good luck will       always be with you (Well, this round is #278, also lucky, huh?). Tourist Henry goes to the tower to seek good luck. Now he is at       the floor numbered  a. He wants to find the minimum positive integer  b, such that, if he walks  b floors higher, he will arrive at a floor with a         lucky number. ",The only line of input contains an integer  a ( - 109 ≤ a ≤ 109).,Print the minimum  b in a line.,"For the first sample, he has to arrive at the floor numbered         180. For the second sample, he will arrive at 8. Note that  b should be positive, so the answer for the third       sample is 10, not 0."
535,"Today Tavas got his test result as an integer score and he wants       to share it with his girlfriend, Nafas. His phone operating system is Tavdroid, and its keyboard doesn't       have any digits! He wants to share his score with Nafas via text,       so he has no choice but to send this number using words. He ate coffee mix without water again, so right now he's really       messed up and can't think. Your task is to help him by telling him what to type.","The first and only line of input contains an integer  s (0 ≤ s ≤ 99), Tavas's score. ","In the first and only line of output, print a single string       consisting only from English lowercase letters and hyphens ('-'). Do not use spaces.",You can find all you need to know about English numerals in http://en.wikipedia.org/wiki/English_numerals .
573,Limak is an old brown bear. He often plays poker with his       friends. Today they went to a casino. There are  n players (including Limak himself) and right now       all of them have bids on the table.  i-th of them has bid with size  a  i dollars. Each player can double his bid any number of times and triple his       bid any number of times. The casino has a great jackpot for making       all bids equal. Is it possible that Limak and his friends will win       a jackpot?,"First line of input contains an integer  n (2 ≤ n ≤ 105), the number of players. The second line contains  n integer numbers  a 1, a 2, ..., a  n (1 ≤ a  i ≤ 109) —       the bids of players.","Print ""Yes""       (without the quotes) if players can make their bids become equal,       or ""No"" otherwise.","In the first sample test first and third players should double       their bids twice, second player should double his bid once and       fourth player should both double and triple his bid. It can be shown that in the second sample test there is no way to       make all bids equal."
578,"There is a polyline going through points (0, 0) – (x, x) – (2x, 0) – (3x, x) – (4x, 0) – ... - (2kx, 0) – (2kx + x, x) – ....  We know that the polyline passes through the point (a, b). Find minimum       positive value  x such that it is true or determine that there is       no such  x.","Only one line containing two positive integers  a and  b (1 ≤ a, b ≤ 109).",Output the only line containing the answer. Your answer will be       considered correct if its relative or absolute error doesn't       exceed 10 - 9. If there is no such  x then output  - 1       as the answer.,You can see following graphs for sample 1 and sample 3. 
610,"Pasha has a wooden stick of some positive integer length  n. He wants to perform exactly three cuts to get       four parts of the stick. Each part must have some positive integer       length and the sum of these lengths will obviously be  n.  Pasha likes rectangles but hates squares, so he wonders, how many       ways are there to split a stick into four parts so that it's       possible to form a rectangle using these parts, but is impossible       to form a square. Your task is to help Pasha and count the number of such ways. Two       ways to cut the stick are considered distinct if there exists some       integer  x, such that the number of parts of length  x in the first way differ from the number of parts       of length  x in the second way.",The first line of the input contains a positive integer  n (1 ≤ n ≤ 2·109) — the length of Pasha's stick.,"The output should contain a single integer — the number of ways       to split Pasha's stick into four parts of positive integer length       so that it's possible to make a rectangle by connecting the ends       of these parts, but is impossible to form a square. ","There is only one way to divide the stick in the first sample {1,       1, 2, 2}. Four ways to divide the stick in the second sample are {1, 1, 9,       9}, {2, 2, 8, 8}, {3, 3, 7, 7} and {4, 4, 6, 6}. Note that {5, 5,       5, 5} doesn't work."
631,"Blake is a CEO of a large company called ""Blake       Technologies"". He loves his company very much and he thinks       that his company should be the best. That is why every candidate       needs to pass through the interview that consists of the following problem. We define function  f(x, l, r) as a bitwise OR of       integers  x  l, x  l + 1, ..., x  r, where  x  i is the  i-th element of the array  x. You are given two arrays  a and  b of length  n. You need to determine the maximum value of sum          f(a, l, r) + f(b, l, r)       among all possible 1 ≤ l ≤ r ≤ n.",The first line of the input contains a single integer  n (1 ≤ n ≤ 1000) — the length of the arrays. The second line contains  n integers  a  i (0 ≤ a  i ≤ 109). The third line contains  n integers  b  i (0 ≤ b  i ≤ 109).,"Print a single integer — the maximum value of sum  f(a, l, r) + f(b, l, r)       among all possible 1 ≤ l ≤ r ≤ n.","Bitwise OR of two non-negative integers  a and  b is the number  c = a OR b, such that each of       its digits in binary notation is 1       if and only if at least one of  a or  b have 1 in the       corresponding position in binary notation. In the first sample, one of the optimal answers is  l = 2 and  r = 4, because  f(a, 2, 4) + f(b, 2, 4) = (2         OR 4 OR 3) + (3 OR 3 OR       12) = 7 + 15 = 22. Other ways to get maximum value is to       choose  l = 1 and  r = 4,  l = 1 and  r = 5,  l = 2 and  r = 4,  l = 2 and  r = 5,  l = 3 and  r = 4, or  l = 3 and  r = 5. In the second sample, the maximum value is obtained for  l = 1 and  r = 9."
667,"A lot of people in Berland hates rain, but you do not. Rain       pacifies, puts your thoughts in order. By these years you have       developed a good tradition — when it rains, you go on the street       and stay silent for a moment, contemplate all around you, enjoy       freshness, think about big deeds you have to do.  Today everything had changed quietly. You went on the street with       a cup contained water, your favorite drink. In a moment when you       were drinking a water you noticed that the process became quite       long: the cup still contained water because of rain. You decided       to make a formal model of what was happening and to find if it was       possible to drink all water in that situation.  Thus, your cup is a cylinder with diameter equals  d centimeters. Initial level of water in cup       equals  h centimeters from the bottom.  You drink a water with a speed equals  v milliliters per second. But rain goes with such       speed that if you do not drink a water from the cup, the level of       water increases on  e centimeters per second. The process of drinking       water from the cup and the addition of rain to the cup goes evenly       and continuously.  Find the time needed to make the cup empty or find that it will       never happen. It is guaranteed that if it is possible to drink all       water, it will happen not later than after 104 seconds. Note one milliliter equals to one cubic centimeter.","The only line of the input contains four integer numbers  d, h, v, e (1 ≤ d, h, v, e ≤ 104), where:","If it is impossible to make the cup empty, print ""NO"" (without quotes). Otherwise print ""YES"" (without quotes) in the       first line. In the second line print a real number — time in       seconds needed the cup will be empty. The answer will be       considered correct if its relative or absolute error doesn't       exceed 10 - 4. It is guaranteed that if       the answer exists, it doesn't exceed 104.","In the first example the water fills the cup faster than you can       drink from it. In the second example area of the cup's bottom equals to ,       thus we can conclude that you decrease the level of water by        centimeters per second. At the same time water level increases by         1 centimeter per second due to       rain. Thus, cup will be empty in  seconds."
669,"Little Artem got  n stones on his birthday and now wants to give       some of them to Masha. He knows that Masha cares more about the       fact of receiving the present, rather than the value of that       present, so he wants to give her stones as many times as possible.       However, Masha remembers the last present she received, so Artem       can't give her the same number of stones twice in a row. For       example, he can give her 3 stones,       then 1 stone, then again 3 stones, but he can't give her 3 stones and then again 3 stones right after that. How many times can Artem give presents to Masha?",The only line of the input contains a single integer  n (1 ≤ n ≤ 109) — number of stones Artem       received on his birthday.,Print the maximum possible number of times Artem can give       presents to Masha.,"In the first sample, Artem can only give 1 stone to Masha. In the second sample, Atrem can give Masha 1 or 2       stones, though he can't give her 1       stone two times. In the third sample, Atrem can first give Masha 2 stones, a then 1 more stone. In the fourth sample, Atrem can first give Masha 1 stone, then 2 stones, and finally 1 stone again."
678,"Johny likes numbers  n and  k very much. Now Johny wants to find the smallest       integer  x greater than  n, so it is divisible by the number  k.","The only line contains two integers  n and  k (1 ≤ n, k ≤ 109).","Print the smallest integer  x > n, so it is divisible by the number          k.",
700,"On vacations  n pupils decided to go on excursion and gather all       together. They need to overcome the path with the length  l meters. Each of the pupils will go with the       speed equal to  v 1. To get to the excursion       quickly, it was decided to rent a bus, which has seats for  k people (it means that it can't fit more than          k people at the same time) and the speed equal to          v 2. In order to avoid       seasick, each of the pupils want to get into the bus no more than once. Determine the minimum time required for all  n pupils to reach the place of excursion. Consider       that the embarkation and disembarkation of passengers, as well as       the reversal of the bus, take place immediately and this time can       be neglected. ","The first line of the input contains five positive integers  n,  l,  v 1,  v 2 and  k (1 ≤ n ≤ 10 000, 1 ≤ l ≤ 109, 1 ≤ v 1 < v 2 ≤ 109, 1 ≤ k ≤ n) — the number of       pupils, the distance from meeting to the place of excursion, the       speed of each pupil, the speed of bus and the number of seats in       the bus. ",Print the real number — the minimum time in which all pupils can       reach the place of excursion. Your answer will be considered       correct if its absolute or relative error won't exceed 10 - 6.,"In the first sample we should immediately put all five pupils to       the bus. The speed of the bus equals 2 and the distance is equal to 10, so the pupils will reach the place of       excursion in time 10 / 2 = 5."
702,You are given array consisting of  n integers. Your task is to find the maximum       length of an increasing subarray of the given array. A subarray is the sequence of consecutive elements of the array.       Subarray is called increasing if each element of this subarray         strictly greater than previous.,"The first line contains single positive integer  n (1 ≤ n ≤ 105) — the number of integers. The second line contains  n positive integers  a 1, a 2, ..., a  n (1 ≤ a  i ≤ 109).",Print the maximum length of an increasing subarray of the given array.,
740,"Little girl Alyona is in a shop to buy some copybooks for school.       She study four subjects so she wants to have equal number of       copybooks for each of the subjects. There are three types of       copybook's packs in the shop: it is possible to buy one copybook       for  a rubles, a pack of two copybooks for  b rubles, and a pack of three copybooks for  c rubles. Alyona already has  n copybooks. What is the minimum amount of rubles she should pay to buy such       number of copybooks  k that  n + k is divisible by 4? There are infinitely many packs of any       type in the shop. Alyona can buy packs of different type in the       same purchase.","The only line contains 4 integers          n,  a,  b,  c (1 ≤ n, a, b, c ≤ 109).",Print the minimum amount of rubles she should pay to buy such       number of copybooks  k that  n + k is divisible by 4.,"In the first example Alyona can buy 3 packs of 1       copybook for 3a = 3 rubles in       total. After that she will have 4       copybooks which she can split between the subjects equally.  In the second example Alyuna can buy a pack of 2 copybooks for  b = 1 ruble. She will have 8 copybooks in total. In the third example Alyona can split the copybooks she already       has between the 4 subject equally,       so she doesn't need to buy anything. In the fourth example Alyona should buy one pack of one copybook."
742," There exists an island called         Arpa’s land, some beautiful girls live there, as ugly ones do. Mehrdad wants to become minister of Arpa’s land. Arpa has       prepared an exam. Exam has only one question, given  n, print the last digit of 1378 n.  Mehrdad has become quite confused and wants you to help him.       Please help, although it's a naive cheat.",The single line of input contains one integer  n (0  ≤  n  ≤  109).,Print single integer — the last digit of 1378 n.,"In the first example, last digit of 13781 = 1378 is 8. In the second example, last digit of 13782 = 1378·1378 = 1898884 is 4."
746,"Nikolay has  a lemons,  b apples and  c pears. He decided to cook a compote. According       to the recipe the fruits should be in the ratio 1: 2: 4. It means that for each lemon in       the compote should be exactly 2       apples and exactly 4 pears. You       can't crumble up, break up or cut these fruits into pieces. These       fruits — lemons, apples and pears — should be put in the compote       as whole fruits. Your task is to determine the maximum total number of lemons,       apples and pears from which Nikolay can cook the compote. It is       possible that Nikolay can't use any fruits, in this case print         0. ",The first line contains the positive integer  a (1 ≤ a ≤ 1000) — the number of       lemons Nikolay has.  The second line contains the positive integer  b (1 ≤ b ≤ 1000) — the number of       apples Nikolay has.  The third line contains the positive integer  c (1 ≤ c ≤ 1000) — the number of pears       Nikolay has.,"Print the maximum total number of lemons, apples and pears from       which Nikolay can cook the compote.","In the first example Nikolay can use 1 lemon, 2       apples and 4 pears, so the answer is         1 + 2 + 4 = 7. In the second example Nikolay can use 3 lemons, 6       apples and 12 pears, so the answer       is 3 + 6 + 12 = 21. In the third example Nikolay don't have enough pears to cook any       compote, so the answer is 0. "
747,"A big company decided to launch a new series of rectangular       displays, and decided that the display must have exactly  n pixels.  Your task is to determine the size of the rectangular display —       the number of lines (rows) of pixels  a and the number of columns of pixels  b, so that:",The first line contains the positive integer  n (1 ≤ n ≤ 106) — the number of pixels display       should have.,Print two integers — the number of rows and columns on the       display. ,"In the first example the minimum possible difference equals 2, so       on the display should be 2 rows of 4 pixels. In the second example the minimum possible difference equals 0,       so on the display should be 8 rows of 8 pixels. In the third example the minimum possible difference equals 4, so       on the display should be 1 row of 5 pixels."
777,"Bomboslav likes to look out of the window in his room and watch       lads outside playing famous shell game. The game is played by two       persons: operator and player. Operator takes three similar opaque       shells and places a ball beneath one of them. Then he shuffles the       shells by swapping some pairs and the player has to guess the       current position of the ball. Bomboslav noticed that guys are not very inventive, so the       operator always swaps the left shell with the middle one during       odd moves (first, third, fifth, etc.) and always swaps the middle       shell with the right one during even moves (second, fourth, etc.). Let's number shells from 0 to 2 from left to right. Thus the left shell       is assigned number 0, the middle       shell is 1 and the right shell is         2. Bomboslav has missed the moment       when the ball was placed beneath the shell, but he knows that       exactly  n movements were made by the operator and the ball       was under shell  x at the end. Now he wonders, what was the initial       position of the ball?",The first line of the input contains an integer  n (1 ≤ n ≤ 2·109) — the number of movements made       by the operator. The second line contains a single integer  x (0 ≤ x ≤ 2) — the index of the shell       where the ball was found after  n movements.,Print one integer from 0 to 2 — the index of the shell where the ball       was initially placed.,"In the first sample, the ball was initially placed beneath the       middle shell and the operator completed four movements."
792,"There are  n cities situated along the main road of Berland.       Cities are represented by their coordinates — integer numbers          a 1, a 2, ..., a  n. All coordinates are pairwise distinct. It is possible to get from one city to another only by bus. But       all buses and roads are very old, so the Minister of Transport       decided to build a new bus route. The Minister doesn't want to       spend large amounts of money — he wants to choose two cities in       such a way that the distance between them is minimal possible. The       distance between two cities is equal to the absolute value of the       difference between their coordinates. It is possible that there are multiple pairs of cities with       minimal possible distance, so the Minister wants to know the       quantity of such pairs.  Your task is to write a program that will calculate the minimal       possible distance between two pairs of cities and the quantity of       pairs which have this distance.","The first line contains one integer number  n (2 ≤ n ≤ 2·105). The second line contains  n integer numbers  a 1, a 2, ..., a  n ( - 109 ≤ a  i ≤ 109).       All numbers  a  i are pairwise distinct.",Print two integer numbers — the minimal distance and the quantity       of pairs with this distance.,"In the first example the distance between the first city and the       fourth city is |4 - 6| = 2, and it       is the only pair with this distance."
805,"Tavak and Seyyed are good friends. Seyyed is very funny and he       told Tavak to solve the following problem instead of longest-path. You are given  l and  r. For all integers from  l to  r, inclusive, we wrote down all of their integer       divisors except 1. Find the integer       that we wrote down the maximum number of times. Solve the problem to show that it's not a NP problem.",The first line contains two integers  l and  r (2 ≤ l ≤ r ≤ 109).,"Print single integer, the integer that appears maximum number of       times in the divisors.  If there are multiple answers, print any of them.","Definition of a divisor: https://www.mathsisfun.com/definitions/divisor-of-an-integer-.html The first example: from 19 to 29 these numbers are divisible by 2: {20, 22, 24, 26, 28}. The second example: from 3 to 6 these numbers are divisible by 3: {3, 6}."
819,"Sometimes Mister B has free evenings when he doesn't know what to       do. Fortunately, Mister B found a new game, where the player can       play against aliens. All characters in this game are lowercase English letters. There       are two players: Mister B and his competitor. Initially the players have a string  s consisting of the first  a English letters in alphabetical order (for       example, if  a = 5, then  s equals to ""abcde""). The players take turns appending letters to string  s. Mister B moves first. Mister B must append exactly  b letters on each his move. He can arbitrary       choose these letters. His opponent adds exactly  a letters on each move. Mister B quickly understood that his opponent was just a computer       that used a simple algorithm. The computer on each turn considers       the suffix of string  s of length  a and generates a string  t of length  a such that all letters in the string  t are distinct and don't appear in the considered       suffix. From multiple variants of  t lexicographically minimal is chosen (if  a = 4 and the suffix is ""bfdd"", the computer chooses       string  t equal to ""aceg""). After that the       chosen string  t is appended to the end of  s. Mister B soon found the game boring and came up with the       following question: what can be the minimum possible number of       different letters in string  s on the segment between positions  l and  r, inclusive. Letters of string  s are numerated starting from 1.","First and only line contains four space-separated integers:  a,  b,  l and  r (1 ≤ a, b ≤ 12, 1 ≤ l ≤ r ≤ 109) — the numbers of letters each       player appends and the bounds of the segment.","Print one integer — the minimum possible number of different       letters in the segment from position  l to position  r, inclusive, in string  s.","In the first sample test one of optimal strategies generate       string  s = ""abababab..."", that's why       answer is 2. In the second sample test string  s = ""abcdbcaefg..."" can be       obtained, chosen segment will look like ""bcdbc"", that's why answer is         3. In the third sample test string  s = ""abczzzacad..."" can be       obtained, chosen, segment will look like ""zzz"", that's why answer is         1."
